stop_no,stop_name,line_con,Longitude,Latitude,x,y
59583,Southbound Main St @ E 49 Ave,003,-123.10178,49.225333,-13703627.46534559,6313182.539702823
59587,Northbound Lower Mall @ University Blvd,068,-123.256083,49.263181,-13720804.39673346,6319636.2622538
59606,Southbound Willingdon Ave @ Maywood St,031; 146; 147; 430,-123.011162,49.224417,-13693539.915728884,6313026.407534078
59607,Northbound Willingdon Extension @ Imperial St,031; 049; 116; 146; 147,-123.012456,49.222365,-13693683.96314997,6312676.654707897
59664,Joyce Station @ Bay 7,027,-123.031266,49.238723,-13695777.882771792,6315465.195218865
59668,Southbound Nelson Ave @ Patrick Place,148,-122.996792,49.208615,-13691940.254646184,6310333.412676411
59669,Southbound Nelson Ave @ McKee Place,148,-122.994011,49.210732,-13691630.675142286,6310694.14429084
59670,Southbound Nelson Ave @ Clinton St,148,-122.994004,49.212593,-13691629.895905854,6311011.266890669
59671,Southbound Nelson Ave @ Rumble St,148,-122.993973,49.214497,-13691626.445001638,6311335.729235507
59673,Westbound Rumble St @ Royal Oak Ave,147; 148,-122.989193,49.214922,-13691094.337835643,6311408.155572222
59674,Northbound Antrim Ave @ Victory St,148,-122.984964,49.21882,-13690623.567709085,6312072.461940696
59675,Southbound Patterson Ave @ Imperial St,146; 147,-123.012703,49.221627,-13693711.459064197,6312550.869961648
59676,Northbound Patterson Ave @ Victory St,146; 147,-123.01236,49.218594,-13693673.276478851,6312033.945056076
59677,Southbound Patterson Ave @ Victory St,146; 147,-123.012508,49.218127,-13693689.751763493,6311954.355414416
59678,Northbound Patterson Ave @ Rumble St,146; 147,-123.0123,49.215171,-13693666.597309403,6311450.5891740825
59679,Southbound Patterson Ave @ Rumble St,146,-123.012488,49.214602,-13693687.525373677,6311353.622743132
59680,Westbound Rumble St @ McKay Ave,147,-123.009187,49.214873,-13693320.059734566,6311399.805209874
59681,Westbound Rumble St @ Sussex Ave,147,-123.005284,49.214867,-13692885.579762002,6311398.782717092
59682,Eastbound Rumble St @ Sussex Ave,147,-123.004608,49.214778,-13692810.327786226,6311383.615755442
59683,Westbound Rumble St @ Gray Ave,147,-122.999848,49.214862,-13692280.447010048,6311397.930639874
59684,Eastbound Rumble St @ Gray Ave,147,-122.999097,49.214781,-13692196.846072463,6311384.127000898
59685,Westbound Rumble St @ Nelson Ave,147,-122.994317,49.214888,-13691664.738906473,6311402.361442366
59687,Northbound Greenall Ave @ Marine Way,116,-123.017836,49.206144,-13694282.862010438,6309912.379864705
59701,Westbound Lougheed Hwy @ Madison Ave,N9,-123.009458,49.266542,-13693350.227316571,6320209.608698368
59702,Eastbound Lougheed Hwy @ Madison Ave,N9,-123.008094,49.266312,-13693198.38753113,6320170.372201447
59715,Northbound Wesbrook Mall @ Thunderbird Blvd,025; 033; 049,-123.241873,49.262267,-13719222.546769287,6319480.351527638
59721,Westbound North Fraser Way @ Glenlyon Parkway West,116,-123.010666,49.200252,-13693484.70126145,6308908.52897188
59751,Westbound W 6th Ave @ Alder Crossing,084,-123.132576,49.266199,-13707055.66038406,6320151.09520692
59754,Eastbound W 6th Ave @ Heather St,084,-123.120144,49.265832,-13705671.736474518,6320088.487927452
59758,Eastbound W 2nd Ave @ Columbia St,084,-123.109733,49.269029,-13704512.789255869,6320633.886327436
59760,Eastbound E 2nd Ave @ Ontario St,084,-123.104153,49.269125,-13703891.626497244,6320650.26417971
59761,Westbound E 2nd Ave @ Main St,084,-123.101217,49.269283,-13703564.792472271,6320677.219464295
59763,Eastbound Great Northern Way @ Brunswick St,084,-123.095812,49.266743,-13702963.110624537,6320243.8981345715
