,name,Longitude,Latitude
353,Southbound Granville St @ Laurier Ave,-123.139186,49.2505
354,Southbound Granville St @ N Connaught Dr,-123.139357,49.244793
355,Southbound Granville St @ W 32 Ave,-123.139408,49.243251
356,Southbound Granville St @ W 33 Ave,-123.139454,49.241525
357,Southbound Granville St @ W 35 Ave,-123.139528,49.239615
358,Southbound Granville St @ W 37 Ave,-123.139593,49.237706
359,Southbound Granville St @ S Connaught Dr,-123.139659,49.235947
360,Southbound Granville St @ W 40 Ave,-123.139751,49.235048
361,Westbound W Broadway @ Pine St,-123.143781,49.263769
362,Westbound W Broadway @ Burrard St,-123.146302,49.263829
363,Westbound W Broadway @ Yew St,-123.155724,49.263962
364,Westbound W Broadway @ Balsam St,-123.160487,49.264051
365,Westbound W Broadway @ Trafalgar St,-123.165212,49.264113
366,Westbound W Broadway @ Macdonald St,-123.168896,49.264174
367,Westbound W Broadway @ Bayswater St,-123.171711,49.264221
368,Westbound W Broadway @ Balaclava St,-123.174408,49.264241
369,Westbound W Broadway @ Blenheim St,-123.178243,49.264311
370,Westbound W Broadway @ Collingwood St,-123.182257,49.264377
371,Westbound W 10 Ave @ Wallace St,-123.191417,49.263644
372,Westbound W 10 Ave @ Crown St,-123.194468,49.263683
373,Westbound W 10 Ave @ Camosun St,-123.197332,49.263725
374,Westbound W 10 Ave @ Courtenay St,-123.200725,49.263781
375,Westbound W 10 Ave @ Discovery St,-123.203438,49.263828
376,Westbound W 10 Ave @ Trimble St,-123.206461,49.263863
377,Westbound W 10 Ave @ Tolmie St,-123.212506,49.263966
378,Westbound W 4th Ave @ Fir St,-123.141569,49.268039
379,Westbound W 4th Ave @ Burrard St,-123.146085,49.268106
380,Westbound W 4th Ave @ Arbutus St,-123.153127,49.268224
381,Westbound W 4th Ave @ Balsam St,-123.160246,49.26833
382,Westbound W 4th Ave @ Trafalgar St,-123.164962,49.268401
383,Westbound W 4th Ave @ Macdonald St,-123.168863,49.268459
384,Westbound W 4th Ave @ Balaclava St,-123.174217,49.268528
385,Westbound W 4th Ave @ Blenheim St,-123.178075,49.268578
386,Westbound W 4th Ave @ Collingwood St,-123.182096,49.268649
387,Westbound W 4th Ave @ Alma St,-123.186254,49.26871
388,Westbound W 4th Ave @ Wallace St,-123.191056,49.268794
389,Westbound W 4th Ave @ 4100 Block,-123.197836,49.268917
390,Westbound W 4th Ave @ NW Marine Dr,-123.200584,49.268604
391,Westbound W 4th Ave @ Trimble St,-123.206426,49.269028
392,Westbound W 4th Ave @ Sasamat St,-123.209399,49.269083
393,Southbound Blanca St @ W 4th Ave,-123.215183,49.268693
394,Blanca Loop @ Bay 2,-123.215302,49.265146
395,Westbound University Blvd @ Blanca St,-123.215915,49.264016
396,Westbound University Blvd @ 5100 Block,-123.229837,49.263693
397,Westbound University Blvd @ 5300 Block,-123.235541,49.265815
398,Westbound University Blvd @ Acadia Rd,-123.239311,49.267024
399,Westbound Davie St @ Denman St,-123.141411,49.287084
400,Northbound Denman St @ Haro St,-123.136163,49.290911
401,Eastbound Robson St @ Bidwell St,-123.133644,49.29023
402,Eastbound Robson St @ Bute St,-123.126771,49.285774
403,Southbound Cambie St @ W 41 Ave,-123.116425,49.234
404,Westbound Robson St @ Hamilton St,-123.116259,49.279145
405,Westbound Robson St @ Burrard St,-123.123086,49.283556
