,name,listing_url,neighbourhood,latitude,longitude,price,room_type,review_scores_rating,entertainment,food,leisure,transportation,shop,tourism
3257,Budget one bed apartment in heart of Downtown,https://www.airbnb.com/rooms/48499335,"Vancouver, British Columbia, Canada",49.28048,-123.1265,97.0,Entire home/apt,0.924,0.5807453416149069,0.34012485443753826,0.3805309734513274,0.028627595527706107,0.05910462756216374,0.017717717717717716
3258,Spacious Mountain View Suite 15 mins from Downtown,https://www.airbnb.com/rooms/48509898,"Vancouver, British Columbia, Canada",49.24829,-123.08672,159.0,Entire home/apt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3259,"Central  Cosy Townhouse with Private Yard, Patio & Fire pit",https://www.airbnb.com/rooms/48526879,,49.26086,-123.08846,325.0,Entire home/apt,0.9119999999999999,0.0,0.0,0.0,0.0,0.0,0.0
3260,1170 Barclay St- PENTHOUSE Studio with Balcony,https://www.airbnb.com/rooms/48535165,"Vancouver, British Columbia, Canada",49.28406,-123.12878,113.0,Entire home/apt,1.0,0.0,0.023631817393067776,0.0,0.0008042086921556143,0.06947967866928834,0.0
3261,Kitsilano Loft w/Sunny deck & Parking by Beach,https://www.airbnb.com/rooms/48547310,"Vancouver, British Columbia, Canada",49.271591,-123.161057,375.0,Entire home/apt,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3262,Unique DT Vancouver Sub-Penthouse +Stunning Views!,https://www.airbnb.com/rooms/48553847,"Vancouver, British Columbia, Canada",49.27857,-123.12364,226.0,Entire home/apt,0.976,1.0,0.9230238523824158,0.9150442477876106,0.02964402595806945,0.037188104293486166,0.027927927927927927
3263,Private Room in Central Vancouver,https://www.airbnb.com/rooms/48554012,"Vancouver, British Columbia, Canada",49.25766,-123.1252,59.0,Private room,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3264,ENTIRE Garden Apt-Private Parking+Central Location,https://www.airbnb.com/rooms/48562554,"Vancouver, British Columbia, Canada",49.2771,-123.06348,142.0,Entire home/apt,0.984,0.0,0.0,0.0,0.0,0.0,0.0
3265,"Quiet 2 Bedroom, 2 Bathroom, 1000 sq ft Condo",https://www.airbnb.com/rooms/48568984,,49.27863,-123.12739,550.0,Entire home/apt,1.0,0.3944099378881988,0.3977884959137978,0.22123893805309736,0.045482469367467526,0.0,0.0
3266,Gorgeous Luxury Stay in the Heart of Vancouver!,https://www.airbnb.com/rooms/48574343,,49.22105,-123.14342,179.0,Entire home/apt,0.95,0.0,0.0,0.0,0.0,0.0,0.0
